Év;A hét sorszáma;A hét kező napja;A hét záró napja;Férfi 034 éves;Férfi 3539 éves;Férfi 4044 éves;Férfi 4549 éves;Férfi 5054 éves;Férfi 5559 éves;Férfi 6064 éves;Férfi 6569 éves;Férfi 7074 éves;Férfi 7579 éves;Férfi 8084 éves;Férfi 8589 éves;Férfi 90+ éves;Férfi összesen;Nő 034 éves;Nő 3539 éves;Nő 4044 éves;Nő 4549 éves;Nő 5054 éves;Nő 5559 éves;Nő 6064 éves;Nő 6569 éves;Nő 7074 éves;Nő 7579 éves;Nő 8084 éves;Nő 8589 éves;Nő 90+ éves;Nő összesen;Összesen 034 éves;Összesen 3539 éves;Összesen 4044 éves;Összesen 4549 éves;Összesen 5054 éves;Összesen 5559 éves;Összesen 6064 éves;Összesen 6569 éves;Összesen 7074 éves;Összesen 7579 éves;Összesen 8084 éves;Összesen 8589 éves;Összesen 90+ éves;Összesen összesen
;16.;2019.04.15.;2019.04.21.;20;11;19;30;55;80;142;168;158;169;109;115;66;1142;10;3;8;16;21;24;70;95;124;183;200;216;215;1185;30;14;27;46;76;104;212;263;282;352;309;331;281;2327
;17.;2019.04.22.;2019.04.28.;15;6;19;24;50;91;148;186;147;153;142;129;57;1167;4;6;6;7;27;39;86;105;132;168;235;273;187;1275;19;12;25;31;77;130;234;291;279;321;377;402;244;2442
;18.;2019.04.29.;2019.05.5.;17;11;21;34;45;69;145;159;142;168;134;101;70;1116;5;8;7;17;16;43;76;128;88;173;201;219;219;1200;22;19;28;51;61;112;221;287;230;341;335;320;289;2316
;19.;2019.05.6.;2019.05.12.;17;8;22;30;53;61;115;154;130;179;126;126;77;1098;6;6;6;12;24;40;69;113;100;188;212;244;165;1185;23;14;28;42;77;101;184;267;230;367;338;370;242;2283
;20.;2019.05.13.;2019.05.19.;16;7;20;20;49;84;134;160;142;161;145;107;53;1098;7;4;13;16;22;32;81;91;118;173;189;193;171;1110;23;11;33;36;71;116;215;251;260;334;334;300;224;2208
;21.;2019.05.20.;2019.05.26.;16;5;19;27;42;61;130;172;157;155;126;104;67;1081;5;2;14;13;21;42;65;100;122;166;219;244;189;1202;21;7;33;40;63;103;195;272;279;321;345;348;256;2283
;22.;2019.05.27.;2019.06.2.;15;14;12;32;46;76;153;145;146;156;122;103;73;1093;13;8;6;11;24;36;70;93;111;146;205;207;173;1103;28;22;18;43;70;112;223;238;257;302;327;310;246;2196
;23.;2019.06.3.;2019.06.9.;23;9;16;24;49;66;155;160;156;169;130;108;65;1130;7;4;8;20;17;47;82;116;113;154;197;219;174;1158;30;13;24;44;66;113;237;276;269;323;327;327;239;2288
;24.;2019.06.10.;2019.06.16.;24;7;28;42;49;79;150;185;173;186;146;129;67;1265;10;5;9;13;22;35;86;111;109;204;256;275;223;1358;34;12;37;55;71;114;236;296;282;390;402;404;290;2623
;25.;2019.06.17.;2019.06.23.;21;12;19;22;49;74;126;166;173;145;131;128;63;1129;11;4;13;8;20;38;62;95;121;137;208;203;168;1088;32;16;32;30;69;112;188;261;294;282;339;331;231;2217
;26.;2019.06.24.;2019.06.30.;26;6;26;36;45;90;144;142;155;169;126;97;61;1123;9;4;11;18;23;43;64;95;114;156;233;213;141;1124;35;10;37;54;68;133;208;237;269;325;359;310;202;2247
;27.;2019.07.1.;2019.07.7.;25;13;17;26;50;83;155;158;127;160;126;105;62;1107;10;5;11;21;19;35;63;86;120;167;194;243;161;1135;35;18;28;47;69;118;218;244;247;327;320;348;223;2242
;28.;2019.07.8.;2019.07.14.;13;12;11;23;47;71;130;150;142;133;135;82;47;996;12;5;9;10;18;43;51;88;100;152;194;215;172;1069;25;17;20;33;65;114;181;238;242;285;329;297;219;2065
;29.;2019.07.15.;2019.07.21.;17;11;16;28;36;101;131;148;147;154;131;125;72;1117;8;3;1;21;25;40;62;101;123;154;205;230;202;1175;25;14;17;49;61;141;193;249;270;308;336;355;274;2292
;30.;2019.07.22.;2019.07.28.;17;5;20;29;53;101;145;164;164;176;129;127;66;1196;11;4;13;14;29;35;88;100;128;173;217;249;214;1275;28;9;33;43;82;136;233;264;292;349;346;376;280;2471
;31.;2019.07.29.;2019.08.4.;17;10;18;31;52;77;119;186;157;144;118;87;56;1072;8;7;9;10;22;37;53;100;106;154;204;203;185;1098;25;17;27;41;74;114;172;286;263;298;322;290;241;2170
;32.;2019.08.5.;2019.08.11.;14;6;24;27;51;80;128;138;142;151;130;111;69;1071;9;6;11;10;12;31;60;93;117;147;211;243;194;1144;23;12;35;37;63;111;188;231;259;298;341;354;263;2215
;33.;2019.08.12.;2019.08.18.;23;14;15;35;44;75;146;162;144;170;111;101;48;1088;12;5;6;10;16;44;67;100;100;182;180;230;178;1130;35;19;21;45;60;119;213;262;244;352;291;331;226;2218
;34.;2019.08.19.;2019.08.25.;23;5;23;27;52;74;133;150;153;145;119;128;63;1095;10;6;7;9;22;37;61;91;104;167;213;229;184;1140;33;11;30;36;74;111;194;241;257;312;332;357;247;2235
;35.;2019.08.26.;2019.09.1.;18;12;12;42;48;68;130;171;148;167;153;111;75;1155;7;6;6;13;28;44;69;111;127;146;218;228;215;1218;25;18;18;55;76;112;199;282;275;313;371;339;290;2373
;36.;2019.09.2.;2019.09.8.;22;8;20;27;50;78;138;164;148;138;126;101;52;1072;8;4;11;18;18;37;66;98;101;165;215;213;173;1127;30;12;31;45;68;115;204;262;249;303;341;314;225;2199
;37.;2019.09.9.;2019.09.15.;27;12;17;25;49;68;138;152;172;158;125;98;58;1099;12;3;10;11;27;30;72;88;116;137;193;189;167;1055;39;15;27;36;76;98;210;240;288;295;318;287;225;2154
;38.;2019.09.16.;2019.09.22.;23;9;13;33;52;79;125;150;136;152;132;128;59;1091;14;2;6;14;25;30;77;101;122;157;197;218;187;1150;37;11;19;47;77;109;202;251;258;309;329;346;246;2241
;39.;2019.09.23.;2019.09.29.;19;6;15;37;58;79;151;184;150;184;151;106;84;1224;11;2;12;14;32;38;75;105;112;168;234;245;222;1270;30;8;27;51;90;117;226;289;262;352;385;351;306;2494
;40.;2019.09.30.;2019.10.6.;21;5;28;27;51;90;148;162;173;174;142;112;75;1208;14;5;14;21;28;46;73;120;113;168;218;203;211;1234;35;10;42;48;79;136;221;282;286;342;360;315;286;2442
;41.;2019.10.7.;2019.10.13.;28;9;12;30;39;85;132;186;164;159;149;130;66;1189;11;3;14;9;23;35;65;89;114;155;244;236;195;1193;39;12;26;39;62;120;197;275;278;314;393;366;261;2382
;42.;2019.10.14.;2019.10.20.;18;10;12;17;62;87;128;161;173;158;141;113;70;1150;7;1;6;13;31;37;55;102;117;195;224;228;228;1244;25;11;18;30;93;124;183;263;290;353;365;341;298;2394
;43.;2019.10.21.;2019.10.27.;14;14;20;37;49;82;103;166;157;168;150;126;89;1175;12;2;11;7;15;39;64;116;123;171;196;237;187;1180;26;16;31;44;64;121;167;282;280;339;346;363;276;2355
;44.;2019.10.28.;2019.11.3.;12;12;21;32;55;73;122;183;160;164;148;110;55;1147;13;6;11;14;24;21;66;98;107;167;212;229;182;1150;25;18;32;46;79;94;188;281;267;331;360;339;237;2297
;45.;2019.11.4.;2019.11.10.;16;4;15;23;57;71;128;189;148;165;138;129;66;1149;7;5;8;13;20;36;86;104;132;189;225;271;198;1294;23;9;23;36;77;107;214;293;280;354;363;400;264;2443
;46.;2019.11.11.;2019.11.17.;21;6;16;19;45;76;133;170;166;177;124;115;82;1150;8;4;11;11;30;44;61;109;122;145;221;227;216;1209;29;10;27;30;75;120;194;279;288;322;345;342;298;2359
;47.;2019.11.18.;2019.11.24.;22;9;11;27;48;82;123;179;155;167;125;115;65;1128;14;3;12;13;19;32;68;105;114;162;213;226;192;1173;36;12;23;40;67;114;191;284;269;329;338;341;257;2301
;48.;2019.11.25.;2019.12.1.;22;4;17;25;58;82;129;170;151;140;156;117;66;1137;10;6;8;15;23;35;69;97;144;174;197;237;205;1220;32;10;25;40;81;117;198;267;295;314;353;354;271;2357
;49.;2019.12.2.;2019.12.8.;15;12;17;33;41;91;148;194;151;183;154;120;68;1227;15;4;11;13;21;39;80;118;130;189;230;267;217;1334;30;16;28;46;62;130;228;312;281;372;384;387;285;2561
;50.;2019.12.9.;2019.12.15.;21;7;24;37;46;84;154;182;166;195;165;117;71;1269;12;2;4;14;28;43;82;112;113;181;207;237;222;1257;33;9;28;51;74;127;236;294;279;376;372;354;293;2526
;51.;2019.12.16.;2019.12.22.;22;16;22;31;60;70;143;191;175;173;136;123;70;1232;15;7;11;13;27;42;83;117;127;176;224;261;203;1306;37;23;33;44;87;112;226;308;302;349;360;384;273;2538
;52.;2019.12.23.;2019.12.29.;18;12;15;19;57;83;141;200;158;171;153;122;76;1225;10;1;8;10;19;44;62;98;133;174;252;266;193;1270;28;13;23;29;76;127;203;298;291;345;405;388;269;2495
2020.;1.;2019.12.30.;2020.01.5.;17;10;14;31;67;97;156;181;167;183;149;121;73;1266;9;3;7;17;32;51;83;133;144;179;244;240;204;1346;26;13;21;48;99;148;239;314;311;362;393;361;277;2612
;2.;2020.01.6.;2020.01.12.;25;11;27;29;54;89;151;199;176;146;176;147;72;1302;10;4;8;11;27;33;77;109;131;194;227;241;211;1283;35;15;35;40;81;122;228;308;307;340;403;388;283;2585
;3.;2020.01.13.;2020.01.19.;21;7;18;36;61;75;131;164;183;180;163;121;82;1242;9;5;10;16;25;47;85;102;126;195;252;243;227;1342;30;12;28;52;86;122;216;266;309;375;415;364;309;2584
;4.;2020.01.20.;2020.01.26.;15;7;21;34;53;92;150;203;167;187;147;133;76;1285;11;3;11;8;31;46;96;109;156;197;264;297;209;1438;26;10;32;42;84;138;246;312;323;384;411;430;285;2723
