"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","648","21","578","8","34","7"
"18-29","492","14","272","3","37","166"
"30-39","915","18","555","9","46","287"
"40-49","1,128","10","580","9","38","491"
"50-59","1,378","19","619","4","49","687"
"60-69","1,284","19","499","6","47","713"
"70-79","1,123","6","329","1","42","745"
"80+","1,222","2","261","3","25","931"
