"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","501,913","39,487","348,431","7,711","90,854","15,430"
"18-29","785,297","65,993","126,426","7,161","45,408","540,309"
"30-39","639,522","47,573","90,211","3,738","24,845","473,155"
"40-49","484,912","30,460","42,645","1,480","11,162","399,165"
"50-59","396,008","22,864","21,184","716","5,471","345,773"
"60-69","202,505","12,150","7,872","383","1,984","180,116"
"70-79","100,553","6,161","2,554","147","667","91,024"
"80+","50,548","4,413","1,546","61","548","43,980"
