"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","899","47","796","8","38","10"
"18-29","899","23","405","10","88","373"
"30-39","1,063","12","541","7","66","437"
"40-49","1,165","12","558","10","47","538"
"50-59","1,406","17","594","5","55","735"
"60-69","1,326","17","491","11","52","755"
"70-79","1,379","5","349","4","50","971"
"80+","1,844","1","322","5","52","1,464"
