"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","8","1","7","0","0","0"
"18-29","16","0","8","0","3","5"
"30-39","45","2","29","0","3","11"
"40-49","129","4","60","0","4","61"
"50-59","325","6","133","0","15","171"
"60-69","649","6","171","0","22","450"
"70-79","1,172","8","177","1","19","967"
"80+","1,978","9","209","5","54","1,701"
