"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","4","0","3","0","0","1"
"18-29","14","0","9","0","1","4"
"30-39","53","0","43","0","1","9"
"40-49","113","3","60","0","4","46"
"50-59","244","5","116","1","10","112"
"60-69","453","5","141","0","9","298"
"70-79","725","8","169","1","22","525"
"80+","1,350","13","241","4","37","1,055"
