"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","429,155","32,145","308,183","7,104","72,620","9,103"
"18-29","628,127","52,666","102,948","5,532","36,594","430,387"
"30-39","529,948","38,026","75,057","2,973","20,676","393,216"
"40-49","408,892","24,189","35,758","1,206","9,075","338,664"
"50-59","308,585","17,250","17,385","568","4,430","268,952"
"60-69","148,836","8,902","6,419","313","1,659","131,543"
"70-79","70,723","4,297","2,098","116","515","63,697"
"80+","32,314","2,589","1,214","50","395","28,066"
