"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","395,335","25,523","312,528","8,990","46,126","2,168"
"18-29","257,526","23,829","51,992","1,693","16,198","163,814"
"30-39","254,435","18,013","42,799","1,112","10,911","181,600"
"40-49","230,670","12,518","22,244","471","5,117","190,320"
"50-59","147,033","7,548","10,045","203","2,425","126,812"
"60-69","58,233","3,449","3,747","91","948","49,998"
"70-79","18,858","1,327","1,268","27","246","15,990"
"80+","9,067","695","714","16","160","7,482"
