"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","4","0","4","0","0","0"
"18-29","13","0","9","0","2","2"
"30-39","42","1","31","0","2","8"
"40-49","100","3","45","0","3","49"
"50-59","255","5","113","1","8","128"
"60-69","492","3","138","0","16","335"
"70-79","902","6","168","1","18","709"
"80+","1,502","12","200","6","35","1,249"
