"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","553","14","508","15","16","0"
"18-29","398","8","278","6","28","78"
"30-39","807","7","489","10","56","245"
"40-49","1,117","15","534","2","45","521"
"50-59","1,497","13","550","2","51","881"
"60-69","1,591","7","376","4","26","1,178"
"70-79","2,047","5","261","3","26","1,752"
"80+","1,821","2","204","1","36","1,578"
