"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","385","14","351","12","7","1"
"18-29","306","3","209","5","14","75"
"30-39","577","4","351","4","44","174"
"40-49","753","11","367","2","35","338"
"50-59","1,115","12","408","3","30","662"
"60-69","1,104","3","283","4","23","791"
"70-79","1,234","3","223","2","17","989"
"80+","1,165","3","163","1","30","968"
