"Age group","Cases rate vaccinated","Cases rate not vaccinated","Emergency rate vaccinated","Emergency rate not vaccinated","Deaths28 rate vaccinated","Deaths28 rate not vaccinated","Deaths60 rate vaccinated","Deaths60 rate not vaccinated"
"Under 18","502.7","2,422.6","0.5","3.3","0.0","0.1","0.0","0.1"
"18-29","794.3","868.6","1.3","6.4","0.0","0.2","0.1","0.2"
"30-39","1,439.8","1,000.1","2.9","12.2","0.1","0.8","0.2","1.0"
"40-49","2,026.6","937.5","5.5","21.6","0.7","2.9","1.0","3.5"
"50-59","1,404.8","711.2","9.3","39.6","2.0","10.4","2.4","12.9"
"60-69","933.3","518.3","13.7","51.5","6.3","26.5","7.8","31.1"
"70-79","409.0","421.6","20.9","88.8","17.3","65.3","20.5","70.5"
"80+","265.5","437.3","36.1","127.5","51.4","147.8","63.5","163.5"
