"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","9","1","8","0","0","0"
"18-29","13","0","9","0","2","2"
"30-39","44","1","28","0","4","11"
"40-49","104","3","51","0","4","46"
"50-59","250","5","108","0","11","126"
"60-69","555","3","154","0","18","380"
"70-79","1025","6","163","1","9","846"
"80+","1,726","7","187","5","35","1,492"
