"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","7","0","6","0","0","1"
"18-29","22","1","16","0","0","5"
"30-39","71","0","44","0","4","23"
"40-49","140","3","78","0","5","54"
"50-59","308","3","130","1","14","160"
"60-69","561","8","172","0","21","360"
"70-79","849","11","184","2","35","617"
"80+","1,760","8","298","3","45","1,406"
