"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","8","0","8","0","0","0"
"18-29","23","0","15","0","0","8"
"30-39","64","0","37","0","3","24"
"40-49","115","2","69","0","5","39"
"50-59","263","2","116","1","15","129"
"60-69","499","10","181","0","21","287"
"70-79","715","6","196","2","35","476"
"80+","1,487","11","302","4","44","1,126"
