Hét,Intervallum,Korcsoport,Összes,TB-n kívül,Oltatlan,Egyszer oltott (1-20),Egyszer oltott (21-),Kétszer oltott,Kétszer oltottak aránya,Oltatlanok aránya
47,43-46,18-29,88261,8511,27691,751,8728,42580,757.1,837.6
47,43-46,30-39,126626,9113,27889,610,7206,81808,1373.1,967.0
47,43-46,40-49,153385,8270,15955,261,3963,124936,2022.9,933.8
47,43-46,50-59,116218,5679,7211,106,1938,101284,1422.5,697.0
47,43-46,60-69,65380,3165,2781,48,869,58517,1015.6,504.1
47,43-46,70-79,28282,1543,1067,11,226,25435,538.2,422.7
47,43-46,80+,9979,669,527,15,162,8606,320.7,410.0
48,44-47,Under 18,321062,19608,259874,14327,26299,954,502.7,2422.6
48,44-47,18-29,92077,8975,28565,752,8604,45181,794.3,868.6
48,44-47,30-39,132341,9517,28705,598,7203,86318,1439.8,1000.1
48,44-47,40-49,153958,8386,15964,254,3830,125524,2026.6,937.5
48,44-47,50-59,115113,5584,7335,122,1908,100164,1404.8,711.2
48,44-47,60-69,60417,2905,2851,47,796,53818,933.3,518.3
48,44-47,70-79,21911,1306,1059,11,205,19330,409.0,421.6
48,44-47,80+,8388,555,559,18,141,7115,265.5,437.3
49,45-48,Under 18,368450,22416,297350,14218,33326,1140,549.7,2795.7
49,45-48,18-29,103160,10039,31204,784,9133,52000,906.3,952.6
49,45-48,30-39,148591,10694,31237,674,7775,98211,1629.7,1092.8
49,45-48,40-49,172297,9122,17551,299,4130,141195,2273.6,1034.0
49,45-48,50-59,121940,5853,8028,127,2049,105883,1482.4,780.9
49,45-48,60-69,57170,2953,3037,56,845,50279,870.9,554.1
49,45-48,70-79,17816,1166,1103,12,209,15326,324.1,441.3
49,45-48,80+,7898,592,586,16,133,6571,245.4,461.0
50,46-49,Under 18,388357,23947,312994,11724,38380,1312,503.9,2960.4
50,46-49,18-29,133101,13147,36733,982,10529,71710,1240.2,1126.0
50,46-49,30-39,173537,12671,34938,745,8613,116570,1925.7,1227.0
50,46-49,40-49,189245,10177,19231,352,4438,155047,2491.0,1136.6
50,46-49,50-59,125434,6149,8661,149,2141,108334,1514.0,844.9
50,46-49,60-69,53006,2966,3259,59,876,45846,793.0,596.4
50,46-49,70-79,15742,1099,1152,13,232,13246,280.1,463.1
50,46-49,80+,7661,570,638,14,131,6308,235.9,505.0
51,47-50,Under 18,395335,25523,312528,8990,46126,2168,635.5,2973.9
51,47-50,18-29,257526,23829,51992,1693,16198,163814,2809.1,1603.5
51,47-50,30-39,254435,18013,42799,1112,10911,181600,2985.1,1510.3
51,47-50,40-49,230670,12518,22244,471,5117,190320,3049.9,1320.1
51,47-50,50-59,147033,7548,10045,203,2425,126812,1768.9,983.7
51,47-50,60-69,58233,3449,3747,91,948,49998,863.5,688.4
51,47-50,70-79,18858,1327,1268,27,246,15990,338.2,512.6
51,47-50,80+,9067,695,714,16,160,7482,280.3,568.5
52,48-51,Under 18,429155,32145,308183,7104,72620,9103,1827.4,2961.6
52,48-51,18-29,628127,52666,102948,5532,36594,430387,7221.4,3240.8
52,48-51,30-39,529948,38026,75057,2973,20676,393216,6383.9,2686.6
52,48-51,40-49,408892,24189,35758,1206,9075,338664,5393.8,2147.2
52,48-51,50-59,308585,17250,17385,568,4430,268952,3738.4,1721.9
52,48-51,60-69,148836,8902,6419,313,1659,131543,2266.3,1194.3
52,48-51,70-79,70723,4297,2098,116,515,63697,1347.6,862.0
52,48-51,80+,32314,2589,1214,50,395,28066,1055.0,981.5
