"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","581","20","539","12","9","1"
"18-29","323","7","212","3","30","71"
"30-39","665","9","425","5","37","189"
"40-49","1006","16","472","5","45","468"
"50-59","1233","18","474","1","51","689"
"60-69","1308","7","318","2","29","952"
"70-79","1802","5","198","3","32","1564"
"80+","1804","3","168","0","33","1600"
