"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","516","17","467","14","17","1"
"18-29","412","7","279","7","21","98"
"30-39","784","8","462","9","59","246"
"40-49","1,042","13","505","5","48","471"
"50-59","1,446","20","510","3","45","868"
"60-69","1,547","7","371","7","35","1,127"
"70-79","1,797","4","281","2","21","1,489"
"80+","1,630","4","196","2","39","1,389"
