"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","300,318","18,197","243,722","15,924","21,610","865"
"18-29","88,261","8,511","27,691","751","8,728","42,580"
"30-39","126,626","9,113","27,889","610","7,206","81,808"
"40-49","153,385","8,270","15,955","261","3,963","124,936"
"50-59","116,218","5,679","7,211","106","1,938","101,284"
"60-69","65,380","3,165","2,781","48","869","58,517"
"70-79","28,282","1,543","1,067","11","226","25,435"
"80+","9,979","669","527","15","162","8,606"
