"Age group","Cases rate vaccinated","Cases rate not vaccinated","Emergency rate vaccinated","Emergency rate not vaccinated","Deaths28 rate vaccinated","Deaths28 rate not vaccinated","Deaths60 rate vaccinated","Deaths60 rate not vaccinated"
"Under 18","2,356.6","3,376.1","1.8","10.9","0.0","0.1","0.0","0.1"
"18-29","8,926.0","4,058.9","10.5","16.9","0.1","0.5","0.1","0.6"
"30-39","7,618.8","3,268.8","10.2","21.1","0.4","1.3","0.5","1.7"
"40-49","6,330.1","2,585.9","11.3","32.9","0.6","4.2","0.8","5.1"
"50-59","4,796.2","2,117.0","13.6","61.5","1.8","11.6","2.4","15.3"
"60-69","3,099.9","1,477.9","17.8","100.4","4.9","34.0","6.4","40.0"
"70-79","1,926.2","1,059.6","32.1","170.5","10.1","81.3","13.9","90.4"
"80+","1,657.7","1,262.9","88.7","330.8","42.4","246.7","54.3","262.2"
