"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","12","1","10","0","1","0"
"18-29","16","0","9","0","2","5"
"30-39","52","1","32","0","4","15"
"40-49","132","4","62","0","5","61"
"50-59","312","6","134","0","14","158"
"60-69","658","5","181","0","20","452"
"70-79","1,195","7","175","1","16","996"
"80+","2,054","7","207","6","47","1,787"
