"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","8","1","7","0","0","0"
"18-29","13","0","8","0","3","2"
"30-39","35","2","24","0","3","6"
"40-49","100","3","50","0","3","44"
"50-59","264","5","107","0","12","140"
"60-69","531","4","146","0","19","362"
"70-79","1002","6","164","1","13","818"
"80+","1,618","9","189","5","37","1,378"
