"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","1,295","78","1,124","12","69","12"
"18-29","1,329","40","525","14","116","634"
"30-39","1,335","28","581","10","80","636"
"40-49","1,349","16","542","12","67","712"
"50-59","1,703","23","615","6","78","981"
"60-69","1,672","18","535","17","68","1,034"
"70-79","1,997","4","411","5","62","1,515"
"80+","2,834","3","405","7","66","2,353"
