"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","5","0","4","0","0","1"
"18-29","16","0","11","0","1","4"
"30-39","67","0","50","0","1","16"
"40-49","150","3","78","0","4","65"
"50-59","314","5","139","1","13","156"
"60-69","585","6","161","0","15","403"
"70-79","951","9","186","1","31","724"
"80+","1,750","13","260","4","46","1,427"
