"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","11","0","11","0","0","0"
"18-29","28","1","18","1","0","8"
"30-39","86","1","47","0","5","33"
"40-49","142","3","84","0","6","49"
"50-59","344","2","153","1","18","170"
"60-69","621","13","213","0","25","370"
"70-79","925","7","218","2","41","657"
"80+","1,828","13","321","4","49","1,441"
