Hét,Intervallum,Korcsoport,Összes,TB-n kívül,Oltatlan,Egyszer oltott (1-20),Egyszer oltott (21-),Kétszer oltott,Kétszer oltottak aránya,Oltatlanok aránya
40,36-39,30-39,49,3,34,0,1,11,0.2,1.2
40,36-39,40-49,116,3,73,0,8,32,0.5,4.3
40,36-39,50-59,305,7,146,1,15,136,1.9,14.3
40,36-39,60-69,519,9,150,0,28,332,5.8,27.8
40,36-39,70-79,938,4,147,0,29,758,16.4,59.7
40,36-39,80+,1711,8,183,1,45,1474,57.4,145.1
41,37-40,Under 18,6,1,4,1,0,0,0.0,0.0
41,37-40,18-29,26,1,16,0,1,8,0.1,0.5
41,37-40,30-39,41,2,27,0,1,11,0.2,0.9
41,37-40,40-49,105,3,59,0,7,36,0.6,3.5
41,37-40,50-59,273,4,131,1,15,122,1.7,12.8
41,37-40,60-69,490,8,144,0,28,310,5.5,26.7
41,37-40,70-79,902,4,139,0,26,733,15.8,56.5
41,37-40,80+,1680,6,181,0,46,1447,56.3,144.1
42,38-41,Under 18,6,1,4,1,0,0,0.0,0.0
42,38-41,18-29,25,1,15,0,0,9,0.2,0.4
42,38-41,30-39,38,2,26,0,2,8,0.1,0.9
42,38-41,40-49,101,3,59,0,5,34,0.6,3.5
42,38-41,50-59,253,3,112,1,13,124,1.8,11.0
42,38-41,60-69,477,5,140,0,26,306,5.4,26.0
42,38-41,70-79,879,5,121,0,23,730,15.8,49.2
42,38-41,80+,1682,6,169,0,50,1457,56.7,134.5
43,39-42,Under 18,5,0,4,1,0,0,0.0,0.0
43,39-42,18-29,19,1,11,0,0,7,0.1,0.3
43,39-42,30-39,42,1,27,0,2,12,0.2,0.9
43,39-42,40-49,100,3,55,0,6,36,0.6,3.2
43,39-42,50-59,224,3,100,0,9,112,1.6,9.6
43,39-42,60-69,490,4,143,0,23,320,5.6,25.8
43,39-42,70-79,904,4,121,0,27,752,15.9,47.6
43,39-42,80+,1717,5,167,0,53,1492,55.5,128.5
44,40-43,Under 18,8,0,7,0,1,0,0.0,0.1
44,40-43,18-29,14,0,9,0,0,5,0.1,0.3
44,40-43,30-39,38,2,24,0,3,9,0.2,0.8
44,40-43,40-49,110,2,56,0,6,46,0.7,3.3
44,40-43,50-59,241,4,104,0,7,126,1.8,10.2
44,40-43,60-69,535,3,157,0,20,355,6.2,29.1
44,40-43,70-79,980,4,131,0,23,822,17.7,53.3
44,40-43,80+,1897,4,181,1,63,1648,64.2,144.1
45,41-44,Under 18,11,1,9,0,1,0,0.0,0.1
45,41-44,18-29,12,0,9,0,0,3,0.1,0.3
45,41-44,30-39,46,1,29,0,3,13,0.2,1.0
45,41-44,40-49,112,3,53,0,7,49,0.8,3.1
45,41-44,50-59,256,5,107,0,6,138,1.9,10.3
45,41-44,60-69,594,3,160,0,20,411,7.1,28.9
45,41-44,70-79,1081,5,151,0,19,906,19.2,59.4
45,41-44,80+,2023,5,185,1,68,1764,65.6,142.3
46,42-45,Under 18,14,1,12,0,1,0,0.0,0.1
46,42-45,18-29,13,0,9,0,2,2,0.0,0.3
46,42-45,30-39,51,1,32,0,4,14,0.2,1.1
46,42-45,40-49,120,3,55,0,6,56,0.9,3.2
46,42-45,50-59,286,5,123,0,11,147,2.1,11.9
46,42-45,60-69,661,5,185,0,21,450,7.8,33.5
46,42-45,70-79,1157,8,166,0,23,960,20.3,65.5
46,42-45,80+,2057,5,201,4,57,1790,66.6,155.5
47,43-46,Under 18,12,1,10,0,1,0,0.0,0.1
47,43-46,18-29,16,0,9,0,2,5,0.1,0.3
47,43-46,30-39,52,1,32,0,4,15,0.3,1.1
47,43-46,40-49,132,4,62,0,5,61,1.0,3.6
47,43-46,50-59,312,6,134,0,14,158,2.2,13.0
47,43-46,60-69,658,5,181,0,20,452,7.8,32.8
47,43-46,70-79,1195,7,175,1,16,996,21.1,69.3
47,43-46,80+,2054,7,207,6,47,1787,66.6,161.0
48,44-47,Under 18,8,1,7,0,0,0,0.0,0.1
48,44-47,18-29,16,0,8,0,3,5,0.1,0.2
48,44-47,30-39,45,2,29,0,3,11,0.2,1.0
48,44-47,40-49,129,4,60,0,4,61,1.0,3.5
48,44-47,50-59,325,6,133,0,15,171,2.4,12.9
48,44-47,60-69,649,6,171,0,22,450,7.8,31.1
48,44-47,70-79,1172,8,177,1,19,967,20.5,70.5
48,44-47,80+,1978,9,209,5,54,1701,63.5,163.5
49,45-48,Under 18,4,0,4,0,0,0,0.0,0.0
49,45-48,18-29,16,0,11,0,2,3,0.1,0.3
49,45-48,30-39,54,1,37,0,2,14,0.2,1.3
49,45-48,40-49,135,4,59,0,4,68,1.1,3.5
49,45-48,50-59,316,6,140,1,10,159,2.2,13.6
49,45-48,60-69,619,5,163,0,20,431,7.5,29.7
49,45-48,70-79,1097,8,182,1,27,879,18.6,72.8
49,45-48,80+,1895,12,220,6,48,1609,60.1,173.1
