Hét,Intervallum,Korcsoport,Összes,TB-n kívül,Oltatlan,Egyszer oltott (1-20),Egyszer oltott (21-),Kétszer oltott,Kétszer oltottak aránya,Oltatlanok aránya
36,32-35,Under 18,3,0,3,0,0,0,0.0,0.0
36,32-35,18-29,24,1,15,1,3,4,0.1,0.4
36,32-35,30-39,58,2,39,0,5,12,0.2,1.3
36,32-35,40-49,119,3,67,0,14,35,0.6,3.9
36,32-35,50-59,234,3,122,0,19,90,1.3,11.8
36,32-35,60-69,401,8,146,2,18,227,4.0,26.9
36,32-35,70-79,653,3,141,1,22,486,10.5,56.9
36,32-35,80+,1266,7,165,3,39,1052,40.8,129.4
37,33-36,Under 18,5,1,4,0,0,0,0.0,0.0
37,33-36,18-29,26,0,16,1,4,5,0.1,0.5
37,33-36,30-39,63,2,44,0,4,13,0.2,1.5
37,33-36,40-49,149,3,93,0,14,39,0.6,5.4
37,33-36,50-59,294,5,151,0,17,121,1.7,14.6
37,33-36,60-69,474,10,171,1,22,270,4.8,31.5
37,33-36,70-79,841,2,173,0,33,633,13.7,69.9
37,33-36,80+,1604,7,198,4,46,1349,52.4,155.7
38,34-37,Under 18,7,2,5,0,0,0,0.0,0.0
38,34-37,18-29,24,0,15,1,2,6,0.1,0.4
38,34-37,30-39,63,2,42,0,3,16,0.3,1.4
38,34-37,40-49,140,3,81,0,13,43,0.7,4.8
38,34-37,50-59,311,8,156,0,16,131,1.9,15.2
38,34-37,60-69,516,10,170,0,25,311,5.5,31.4
38,34-37,70-79,927,4,185,0,33,705,15.2,74.9
38,34-37,80+,1745,8,211,1,53,1472,57.3,166.3
39,35-38,Under 18,8,3,5,0,0,0,0.0,0.0
39,35-38,18-29,26,1,18,0,2,5,0.1,0.5
39,35-38,30-39,52,1,34,0,2,15,0.3,1.2
39,35-38,40-49,133,3,76,0,12,42,0.7,4.5
39,35-38,50-59,323,6,161,0,15,141,2.0,15.7
39,35-38,60-69,519,7,156,0,28,328,5.8,28.8
39,35-38,70-79,937,5,168,0,32,732,15.8,68.1
39,35-38,80+,1772,10,202,1,54,1505,58.6,159.7
40,36-39,Under 18,8,4,3,1,0,0,0.0,0.0
40,36-39,18-29,25,1,16,0,1,7,0.1,0.5
