"Age group", "Total", "Unlinked", "Not vaccinated", "One dose (1-20)","One dose (21-)","Two doses (14-)"
"Under 18","4","0","3","0","0","1"
"18-29","13","0","9","0","1","3"
"30-39","46","0","37","0","1","8"
"40-49","104","3","51","0","4","46"
"50-59","243","5","108","1","8","121"
"60-69","457","4","127","0","12","314"
"70-79","798","5","167","1","17","608"
"80+","1,422","11","216","4","33","1,158"
